no,page,title,subtitle,author,price,pages,pub_date,bookcode,url,cover
86,6,코딩 자율학습 나도코딩의 자바 입문,"기초부터 객체지향까지, 예제와 실습으로 완성하는 자바 프로그래밍",나도코딩 입문,"29,000",592,2026.05.04,BN004811,https://www.gilbut.co.kr/book/view?bookcode=BN004811,https://gimg.gilbut.co.kr/book/BN004811/rn_view_BN004811.jpg
87,6,계속해서 나아가는 힘,더 단단하고 더 능숙해지는 사람은 무엇이 다른가,박소연,"18,500",252,2026.05.01,BN004817,https://www.gilbut.co.kr/book/view?bookcode=BN004817,https://gimg.gilbut.co.kr/book/BN004817/rn_view_BN004817.jpg
88,6,클라우드 환경에서 DB 구축과 웹 개발,,이현호,"31,000",448,2026.04.30,BN004810,https://www.gilbut.co.kr/book/view?bookcode=BN004810,https://gimg.gilbut.co.kr/book/BN004810/rn_view_BN004810.jpg
89,6,인생의 오후에는 잃어야 얻는다,흔들리는 영혼을 위한 카를 융의 말,"카를 구스타프 융 Carl Gustav Jung,변지영","18,500",308,2026.04.27,BN004809,https://www.gilbut.co.kr/book/view?bookcode=BN004809,https://gimg.gilbut.co.kr/book/BN004809/rn_view_BN004809.jpg
90,6,개발자가 블로그도 잘 써야 하나요?,"읽히고, 공유되고, 개발자 성장을 도와줄 매력적인 기술 블로그 작성법","피오트르 사르나,신시아 던롭,김태곤,이미령","33,000",512,2026.04.23,BN004803,https://www.gilbut.co.kr/book/view?bookcode=BN004803,https://gimg.gilbut.co.kr/book/BN004803/rn_view_BN004803.jpg
91,7,일본 여행에 진심인 편,히라가나는 모르지만,도쿄잇초메(최제이) 입문,"19,800",384,2026.04.20,BN004808,https://www.gilbut.co.kr/book/view?bookcode=BN004808,https://gimg.gilbut.co.kr/book/BN004808/rn_view_BN004808.jpg
92,7,네이티브 영어회화 이디엄 101,아는 단어로 바로 말한다!,"Rachel(박재희),Gavin(이갑인)","20,000",252,2026.04.20,BN004765,https://www.gilbut.co.kr/book/view?bookcode=BN004765,https://gimg.gilbut.co.kr/book/BN004765/rn_view_BN004765.jpg
93,7,그림으로 이해하는 AWS 구조와 기술,"AWS, 쉽고 재미있게 시작하자!","오가사와라 시게타카,박광수","26,000",456,2026.04.17,BN004807,https://www.gilbut.co.kr/book/view?bookcode=BN004807,https://gimg.gilbut.co.kr/book/BN004807/rn_view_BN004807.jpg
94,7,너라는 우주,다 알 수 없어서 더 애틋한 시절의 기록,그림에다,"19,800",240,2026.04.15,BN004881,https://www.gilbut.co.kr/book/view?bookcode=BN004881,https://gimg.gilbut.co.kr/book/BN004881/rn_view_BN004881.jpg
95,7,전국 1등급 족보로 완성하는 디지털교육연구대회,보고서 작성부터 발표심사까지! 1등급으로 이끄는 가장 확실한 입상 공식,"이대형,박미지,박근혜,김소연,김수정,원지영,이지연","25,000",376,2026.04.10,BN004802,https://www.gilbut.co.kr/book/view?bookcode=BN004802,https://gimg.gilbut.co.kr/book/BN004802/rn_view_BN004802.jpg
96,7,제미나이 주식투자,"이 주식 살까, 말까? 제미나이로 시작하는 우상향 주식투자",조성호,"20,000",300,2026.04.10,BN004783,https://www.gilbut.co.kr/book/view?bookcode=BN004783,https://gimg.gilbut.co.kr/book/BN004783/rn_view_BN004783.jpg
97,7,삶은 무엇으로 회복하는가,더 나은 매일을 위한 희망의 철학,"라르스 스벤센,이영래","18,800",280,2026.04.08,BN004821,https://www.gilbut.co.kr/book/view?bookcode=BN004821,https://gimg.gilbut.co.kr/book/BN004821/rn_view_BN004821.jpg
98,7,모든 순간의 나를 믿어보기로 했다,,최송이,"18,000",232,2026.04.08,BN004779,https://www.gilbut.co.kr/book/view?bookcode=BN004779,https://gimg.gilbut.co.kr/book/BN004779/rn_view_BN004779.jpg
99,7,현장에서 픽하는 IT 서비스 개발을 위한 실무 지식,"AI 시대, 바로 투입되는 개발자를 위한 실무 오리엔테이션, 기획부터 운영까지 IT 서비스는 이렇게 만들어진다!",신보람 입문,"26,000",336,2026.04.04,BN004782,https://www.gilbut.co.kr/book/view?bookcode=BN004782,https://gimg.gilbut.co.kr/book/BN004782/rn_view_BN004782.jpg
